Hugo_Symbol	Entrez_Gene_Id	TCGA-BL-A13J-11	TCGA-BT-A20N-11	TCGA-BT-A20Q-11	TCGA-BT-A20R-11	TCGA-BT-A20U-11	TCGA-BT-A20W-11	TCGA-BT-A2LA-11	TCGA-BT-A2LB-11	TCGA-CU-A0YN-11	TCGA-CU-A0YR-11	TCGA-GC-A3BM-11	TCGA-GC-A3WC-11	TCGA-GC-A6I3-11	TCGA-GD-A2C5-11	TCGA-GD-A3OP-11	TCGA-GD-A3OQ-11	TCGA-K4-A3WV-11	TCGA-K4-A54R-11	TCGA-K4-A5RI-11
TSKS	60385	11.8016	6.9991	19.4346	5.9359	1.5504	3.8356	2.9536	6.0297	6.5123	17.6471	14.6912	20.9913	12.6162	13.9553	3.4376	4.6654	2.6261	0.5974	9.648
TSKU	25987	1553.38	1056.87	705.83	393.748	5736.43	1579.73	3740.93	2323.75	461.65	1995.29	2715.96	792.42	926.295	3332.54	6623.93	2953.17	3092.44	3109.32	2383.55
TSLP	85480	165.96	300.087	118.375	98.9315	40.3101	235.069	166.667	121.985	63.6758	124.706	348.756	94.4606	98.9376	53.0303	32.3135	56.984	23.1092	1058.54	223.834
TSN	7247	1389.64	1121.61	1471.73	1128.61	1444.96	2326.03	1898.73	1363.17	1553.55	1685.88	1471.04	1345.19	1713.15	2253.99	1498.45	1527.9	1808.3	1194.74	1419.23
TSNARE1	203062	167.435	147.857	188.162	211.714	145.736	140.274	280.591	139.61	105.644	195.294	309.154	225.073	412.351	265.949	233.757	335.906	357.143	161.29	278.346
TSNAX	7257	852.665	870.516	888.693	991.559	679.845	990.685	822.363	704.082	897.974	1154.12	890.415	800.583	822.709	797.847	822.62	816.437	858.718	659.498	1020.76
TSNAX-DISC1	100303453	0	0	0	0.9854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSNAXIP1	55815	19.9152	13.1234	8.8339	13.059	10.0775	12.0548	6.3291	5.102	17.3661	16.4706	12.775	32.07	51.1288	5.1834	13.4067	17.3285	10.5042	14.9343	7.236
TSPAN10	83882	0	0.8749	3.5336	9.4974	15.5039	3.2877	40.9283	15.3061	13.0246	21.1765	1.2775	5.8309	6.6401	96.89	3.4376	25.6595	17.8571	11.3501	26.5321
TSPAN1	10103	9.5888	14.8731	17.6678	58.1717	1158.91	2110.68	7520.68	261.596	11.5774	807.647	3973.65	3713.7	3974.1	14423.4	7632.52	4590.71	1823	3658.3	1615.08
TSPAN11	441631	205.053	328.084	197.88	456.272	86.0465	1176.44	502.11	270.872	278.582	491.765	854.006	289.213	543.825	333.333	139.223	1502.91	318.277	686.977	391.228
TSPAN12	23554	117.278	148.731	90.106	140.879	196.124	442.192	823.207	154.917	134.588	357.059	631.722	374.344	229.748	2639.55	576.143	1099.36	964.286	451.015	300.054
TSPAN13	27075	273.649	214.348	153.71	702.018	1586.82	1649.32	2441.77	1410.95	122.287	713.529	2101.48	696.793	1377.16	4086.12	1300.1	1661.87	1975.84	2621.86	1590.96
TSPAN14	81619	1609.44	1049.87	1219.08	1115.95	3975.97	3276.71	5748.52	4097.87	1310.42	2543.53	5343.13	2426.24	2027.22	8172.25	5383.98	5582.43	7886.55	5445.04	3543.72
TSPAN15	23555	1211.14	1386.7	1984.1	2095.37	648.062	935.89	2296.2	275.974	1843.7	1486.47	1140.17	1299.13	1413.01	1285.89	1794.77	2021.77	2715.34	1502.99	1164.04
TSPAN16	26526	0	0	0	0	0	0	0.4219	0	0	0	0	0	0	0	0	0	0.5252	0	0
TSPAN17	26262	383.551	357.83	460.247	331.223	827.907	726.575	1045.15	694.341	573.806	417.059	664.298	696.793	1901.06	1103.27	1087.32	829.767	1044.64	802.27	866.876
TSPAN18	90139	2738.71	3773.4	3700.53	3617.73	572.868	1682.74	284.81	286.642	4685.96	2985.88	648.968	2412.24	291.501	294.657	423.857	1267.31	389.706	353.047	938.272
TSPAN19	144448	0	0	0	0.3957	0	0	0	0	0	0	0	0	0	0.3987	0	0	0	0	0
TSPAN2	10100	3276.42	2508.31	3210.25	2569.45	393.798	1109.59	218.143	177.644	2659.19	1620	475.867	1864.72	213.811	208.533	202.475	828.101	357.668	268.817	643.042
TSPAN3	10099	1888.25	2224.85	2232.33	2191.53	2041.09	3584.66	4111.39	1871.99	2840.81	3066.47	3038.52	3951.6	3511.29	7501.99	3005.5	2766.56	3433.82	3446.24	2912.26
TSPAN31	6302	655.726	676.29	632.509	690.938	921.705	998.904	1718.14	932.282	670.043	1072.35	1382.89	843.732	720.452	1310.61	1371.61	1230.65	1471.64	1295.7	1077.69
TSPAN32	10077	5.1632	12.2485	6.1837	27.7008	17.0543	19.1781	3.7975	12.0594	4.3415	16.4706	38.3249	41.3994	117.53	20.7337	12.0316	23.3268	9.979	20.908	32.3209
TSPAN33	340348	166.697	140.857	139.576	49.8615	284.496	1058.63	464.135	391.466	181.621	301.176	868.059	402.332	1391.77	510.367	245.789	848.428	359.769	554.958	766.054
TSPAN4	7106	1237.69	1377.95	940.813	1113.57	272.093	1438.36	657.384	497.681	1158.47	1704.12	814.404	1073.47	2312.75	617.624	629.426	627.49	307.773	575.866	2319.39
TSPAN5	10098	73.7599	121.61	43.2862	99.3273	130.233	80.5479	58.6498	141.929	135.311	70	84.9535	48.3965	43.1607	140.75	129.598	167.62	98.2143	94.9821	46.3106
