Hugo_Symbol	Entrez_Gene_Id	TCGA-BL-A13J-11	TCGA-BT-A20N-11	TCGA-BT-A20Q-11	TCGA-BT-A20R-11	TCGA-BT-A20U-11	TCGA-BT-A20W-11	TCGA-BT-A2LA-11	TCGA-BT-A2LB-11	TCGA-CU-A0YN-11	TCGA-CU-A0YR-11	TCGA-GC-A3BM-11	TCGA-GC-A3WC-11	TCGA-GC-A6I3-11	TCGA-GD-A2C5-11	TCGA-GD-A3OP-11	TCGA-GD-A3OQ-11	TCGA-K4-A3WV-11	TCGA-K4-A54R-11	TCGA-K4-A5RI-11
LOC652276	652276	-0.3066	0.0366	-1.3736	-0.0694	-0.3593	2.2813	-0.5023	-0.193	-2.0758	-0.5293	0.8278	-0.1888	-0.7218	-0.7095	0.0299	1.5072	0.9463	1.3735	0.0268
FAM86FP	653113	0.7271	-0.4547	1.1794	-0.8882	-0.4724	-1.2076	0.124	1.8561	-0.2503	0.5527	-0.357	-0.2393	0.8575	-1.6111	-0.2862	1.2492	1.4056	-1.8184	-0.3664
LOC653501	653501	0.9913	-0.2601	0.8233	-1.0265	-0.4872	0.0248	-0.3157	-1.5258	0.9061	0.8129	-0.0456	0.2443	-1.6826	-0.4072	0.2882	1.4428	2.1915	-1.2061	-0.7682
DUX4L6	653544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUX4L5	653545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPCS2P4	653566	-1.1043	-0.9809	-0.9001	-0.5516	0.9497	1.5722	0.4798	-0.5475	-0.672	-0.2114	-0.3419	-0.7436	-0.6839	3.1421	0.1626	-0.0777	0.3495	-0.1714	0.3304
LOC653653	653653	0.9346	1.1973	1.1371	1.2541	-0.2343	0.9452	-1.7099	-0.2458	1.1437	0.8969	-0.3187	0.4284	-2.1792	-0.0101	-0.837	-0.482	-0.9556	-0.9498	-0.0149
LOC653786	653786	-0.6611	-1.7436	-1.7436	-0.2102	-0.6191	0.8407	-0.5447	-0.997	-0.6769	-0.8372	-0.131	1.8462	2.4037	-0.5948	-1.1646	-0.3858	0.11	0.2682	1.3537
LSP1P4	654342	-0.7253	0.3898	0.0512	-0.0554	-2.6443	0.7787	0.4686	-2.1061	0.2615	0.6134	0.0573	0.9035	0.4139	0.3981	0.063	0.4758	-0.9144	-0.2559	1.8267
PAX8-AS1	654433	0.8282	1.2853	0.3864	-0.1286	-0.6833	0.2043	1.0515	-1.6829	-0.31	-0.1299	-2.1217	1.3362	0.1274	0.6251	-0.3015	1.643	-1.4049	-0.6912	-0.0334
